Brand,Function,Category,Name,link,index,0
La Prairie,moisturizer,cream,La Prairie Cellular Radiance Cream,https://www.skincarisma.com/products/la-prairie/cellular-radiance-cream/ingredient_list#info-section,La Prairie Cellular Radiance Cream,"['Avena Sativa (Oat) Kernel Extract', 'Niacinamide', 'Lithium Magnesium Sodium Silicate', 'Trifolium Pratense (Clover) Flower Extract', 'Cetearyl Alcohol', 'Cetyl Caprylate', 'Equisetum Arvense Extract', 'Squalane', 'Aminopropyl Ascorbyl Phosphate', 'Ascorbyl Palmitate', 'Dioscorea Villosa (Wild Yam) Root Extract', 'Oleyl Alcohol', 'Panax Ginseng Root Extract', 'Echinacea Purpurea Extract', 'Water', 'Butylene Glycol', 'Sodium PCA', 'Sodium Hyaluronate', 'Glycerin', 'Propylene Glycol', 'Cholesteryl Nonanoate', 'Glycine Soja (Soybean) Sterols', 'Glycine Soja (Soybean) Oil', 'Trehalose', 'Triethylhexanoin', 'Carica Papaya (Papaya) Fruit Extract', 'Phenyl Methicone', 'Phospholipids', 'Polyquaternium-51', 'Polyphosphorylcholine Glycol Acrylate', 'Hydrogenated Polyisobutene', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Cimicifuga Racemosa Root Extract', 'Retinyl Palmitate (Vitamin A)', 'Cyclomethicone', 'Chlorphenesin', 'TEA-Carbomer', 'PPG-2 Isoceteth-20 Acetate', 'Dimethicone', 'Benzoic Acid', 'Cyclopentasiloxane', 'Urea', 'Polysorbate 60', 'PEG-150 Pentaerythrityl Tetrastearate', 'PEG-6 Caprylic/Capric Glycerides', 'PEG-8', 'Methylparaben', 'Ethylparaben', 'Phenoxyethanol', 'Petrolatum', 'Linalool', 'Benzyl Alcohol', 'Citronellol', 'Alpha-Isomethyl Ionone', 'Hexyl Cinnamal', 'Benzyl Benzoate', 'Evernia Furfuracea (Treemoss) Extract', 'Benzyl Salicylate', 'Butylparaben', 'Butylphenyl Methylpropional', 'Eugenol', 'Isobutylparaben', 'Geraniol', 'Propylparaben', 'Hydroxycitronellal', 'Fragrance', 'Quartz', 'Vinyl Dimethicone/Lauryl Dimethicone Crosspolymer', 'Schizophyllan', 'Amyl Cinnamal', 'Orange Yu', 'Titanium Dioxide', 'Cholesteryl Stearate', 'Cholesteryl Oleate', 'Yellow 5 Lake', 'Red 4 Lake']"
La Prairie,anti-aging,day cream,La Prairie Anti-Aging Day Cream SPF 30,https://www.skincarisma.com/products/la-prairie/anti-aging-day-cream-spf-30/ingredient_list#info-section,La Prairie Anti-Aging Day Cream SPF 30,"['C12-15 Alkyl Ethylhexanoate', 'C13-14 Isoparaffin', 'Glycoproteins', 'Glyceryl Stearate', 'Dextran', 'Dimethicone/Vinyl Dimethicone Crosspolymer', 'Disodium EDTA', 'Resveratrol', 'Panthenol', 'Behenyl Alcohol', 'Potato Starch Modified', 'Cetyl Dimethicone', 'Sodium Dehydroacetate', 'Equisetum Arvense Extract', 'Ethylhexylglycerin', 'Panax Ginseng Root Extract', 'Carnosine', 'Carbomer', 'Caprooyl Tetrapeptide-3', 'Caprylic/Capric Triglyceride', 'Caprylyl Glycol', 'Butylene Glycol', 'Sodium PCA', 'Sodium Hyaluronate', 'Glycerin', 'Glycine Soja (Soybean) Oil', 'Chlorella Vulgaris Extract', 'Salicornia Herbacea Extract', 'Trehalose', 'Palmitoyl Tripeptide-8', 'Polyglyceryl-3 Methylglucose Distearate', 'Polyquaternium-51', 'Polyquaternium-67', 'Hydroxyethyl Behenamidopropyl Dimonium Chloride', 'Synthetic Wax', 'Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables', 'Butyl Methoxydibenzoylmethane', 'Sodium Oleate', 'Alcohol', 'Chlorphenesin', 'Hydrogenated Lecithin', 'Laureth-7', 'Benzoic Acid', 'Sodium Hydroxide', 'Sorbic Acid', 'Steareth-2', 'Steareth-21', 'Cinoxate', 'Octocrylene', 'Urea', 'Tocopheryl Acetate (Vitamin E)', 'Potassium Sorbate', 'Polysorbate 80', 'PEG-100 Stearate', 'Allantoin', 'Methylparaben', 'Ethylhexyl Salicylate', 'Phenoxyethanol', 'Polyacrylamide', 'Linalool', 'Citronellol', 'Alpha-Isomethyl Ionone', 'Hexyl Cinnamal', 'Limonene', 'Benzyl Benzoate', 'Evernia Furfuracea (Treemoss) Extract', 'Benzyl Salicylate', 'Butylphenyl Methylpropional', 'Eugenol', 'Geraniol', 'Hydroxycitronellal', 'Fragrance', 'Silica', 'Myrothamnus Flabellifolia Leaf/Stem Extract', 'Larix Sibirica Wood Extract', 'Acetyl Decapeptide-3', 'Yellow 5 Lake', 'Red 4 Lake']"
La Prairie,moisturizer,cream,La Prairie Cellular Cream Platinum Rare,https://www.skincarisma.com/products/la-prairie/cellular-cream-platinum-rare/ingredient_list#info-section,La Prairie Cellular Cream Platinum Rare,"['C12-15 Alkyl Benzoate', 'Glycoproteins', 'Glyceryl Acrylate/Acrylic Acid Copolymer', 'Disodium EDTA', 'Malachite Extract', 'Biosaccharide Gum-1', 'Platinum Powder', 'Ceramide 2', 'Equisetum Arvense Extract', 'Squalane', 'Ascorbyl Palmitate', 'Panax Ginseng Root Extract', 'Water', 'Chondrus Crispus (Carrageenan)', 'Carnosine', 'Carbomer', 'Caprylic/Capric Triglyceride', 'Caprylyl Glycol', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Coco-Caprylate/Caprate', 'Tribehenin', 'Palmitoyl Oligopeptide', 'Potassium Cetyl Phosphate', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Hexylene Glycol', 'Polygonum Cuspidatum Root Extract', 'Silybum Marianum Fruit Extract', 'Ascorbic Acid (Vitamin C)', 'Tocopherol (Vitamin E)', 'Mica', 'Citric Acid', 'Silver Oxide', 'Alcohol', 'Iron Oxides', 'Poloxamer 188', 'C12-20 Acid PEG-8 Ester', 'Sodium Hydroxide', 'Polysorbate 60', 'Polysorbate 80', 'PEG-8', 'Lactic Acid', 'Phenoxyethanol', 'Linalool', 'Benzyl Alcohol', 'Alpha-Isomethyl Ionone', 'Hexyl Cinnamal', 'Benzyl Benzoate', 'Evernia Furfuracea (Treemoss) Extract', 'Butylphenyl Methylpropional', 'Geraniol', 'Hydroxycitronellal', 'Fragrance', 'Lecithin', 'Myristyl Myristate', 'Amyl Cinnamal', 'Hesperidin', 'Titanium Dioxide', 'Hematite Extract']"
La Prairie,moisturizer,night cream,La Prairie Cellular Radiance Night Cream,https://www.skincarisma.com/products/la-prairie/cellular-radiance-night-cream/ingredient_list#info-section,La Prairie Cellular Radiance Night Cream,"['Avena Sativa (Oat) Kernel Extract', 'Glycoproteins', 'Glycol Cetearate', 'Glucose', 'Glyceryl Stearate', 'Dextran', 'Disodium EDTA', 'Lilium Candidum Bulb Extract', 'Behenic Acid', 'Behenyl Alcohol', 'Boron Nitride', 'Trifolium Pratense (Clover) Flower Extract', 'Beeswax (Cera Alba)', 'Saccharide Isomerate', 'Cetyl Alcohol', 'Sodium Stearoyl Lactylate', 'Sorbitan Isostearate', 'Equisetum Arvense Extract', 'Butyrospermum Parkii (Shea) Butter', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Dioscorea Villosa (Wild Yam) Root Extract', 'Ergothioneine', 'Ethylhexylglycerin', 'Octyldodecanol', 'Isohexadecane', 'Panax Ginseng Root Extract', 'Water', 'Carbomer', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Cholesterol', 'Cholesteryl Nonanoate', 'Cholesteryl Oleyl Carbonate', 'Cholesteryl Chloride', 'Tetrahexyldecyl Ascorbate', 'Oenothera Biennis (Evening Primrose) Flower Extract', 'Tripeptide-1', 'Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate', 'Polyglyceryl-10 Pentastearate', 'Polysilicone-11', 'Propylheptyl Caprylate', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables', 'Hexanoyl Dipeptide-3 Norleucine Acetate', 'Secale Cereale (Rye) Seed Extract', 'Rubus Idaeus (Raspberry) Seed Oil', 'Cimicifuga Racemosa Root Extract', 'Glycine Soja (Soybean)', 'Ceramide', 'Mica', 'Jasminum Officinale (Jasmine) Extract', 'Dimethicone', 'Cyclopentasiloxane', 'Ceteareth-20', 'Ceteareth-25', 'Steareth-2', 'Steareth-21', 'Urea', 'Potassium Sorbate', 'Polysorbate 60', 'PEG-4', 'PEG-40 Stearate', 'Myristyl Lactate', 'Petrolatum', 'Linalool', 'Benzyl Alcohol', 'Citronellol', 'Alpha-Isomethyl Ionone', 'Triethanolamine', 'Hexyl Cinnamal', 'Benzyl Benzoate', 'BHT', 'Evernia Furfuracea (Treemoss) Extract', 'Butylparaben', 'Butylphenyl Methylpropional', 'Eugenol', 'Isobutylparaben', 'Geraniol', 'Hydroxycitronellal', 'Fragrance', 'Guanidine HCL', 'Lecithin', 'Amyl Cinnamal', 'Titanium Dioxide', 'Caprooyl Phytosphingosine', 'Caprooyl Sphingosine', 'Ceramide EOS', 'Tetrapeptide-3']"
La Prairie,anti-aging,night cream,La Prairie Anti-Aging Night Cream,https://www.skincarisma.com/products/la-prairie/anti-aging-night-cream/ingredient_list#info-section,La Prairie Anti-Aging Night Cream,"['C12-15 Alkyl Benzoate', 'Glycoproteins', 'Glyceryl Stearate', 'Dextran', 'Disodium EDTA', 'Panthenol', 'Magnesium Ascorbyl Phosphate', 'Cetearyl Dimethicone Crosspolymer', 'Cetearyl Alcohol', 'Cetyl Alcohol', 'Sodium Dehydroacetate', 'Equisetum Arvense Extract', 'Butyrospermum Parkii (Shea) Butter', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Ethylhexylglycerin', 'Panax Ginseng Root Extract', 'Xanthan Gum', 'Water', 'Carnosine', 'Caprylic/Capric Triglyceride', 'Caprylyl Glycol', 'Butylene Glycol', 'Glycerin', 'Theobroma Grandiflorum Seed Butter', 'Glycine Soja (Soybean) Oil', 'Lepidium Sativum Sprout Extract', 'Chlorella Vulgaris Extract', 'Salicornia Herbacea Extract', 'Palmitoyl Tripeptide-8', 'Helianthus Annuus (Sunflower) Seed Oil', 'Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables', 'Hexanoyl Dipeptide-3 Norleucine Acetate', 'Tocopherol (Vitamin E)', 'Sodium Oleate', 'Alcohol', 'Hydrogenated Lecithin', 'Dimethicone', 'Sorbic Acid', 'Steareth-10', 'Steareth-20', 'Steareth-21', 'Tocopheryl Acetate (Vitamin E)', 'Polysorbate 80', 'Allantoin', 'Methylparaben', 'Ethylparaben', 'Phenoxyethanol', 'Linalool', 'Citronellol', 'Alpha-Isomethyl Ionone', 'Triethanolamine', 'Hexyl Cinnamal', 'Limonene', 'Benzyl Benzoate', 'Evernia Furfuracea (Treemoss) Extract', 'Benzyl Salicylate', 'Butylparaben', 'Butylphenyl Methylpropional', 'Eugenol', 'Geraniol', 'Hydroxycitronellal', 'Fragrance', 'Lecithin', 'Myrothamnus Flabellifolia Leaf/Stem Extract', 'Larix Sibirica Wood Extract', 'Acetyl Decapeptide-3', 'Leontopodium Alpinum Flower/Leaf Extract', 'Hydrolyzed Myrtus Communis Leaf Extract']"
La Prairie,anti-aging,cream,La Prairie Anti-Aging Stress Cream,https://www.skincarisma.com/products/la-prairie/anti-aging-stress-cream/ingredient_list#info-section,La Prairie Anti-Aging Stress Cream,"['Scutellaria Galericulata Extract', 'Glycoproteins', 'Disodium EDTA', 'Dipropylene Glycol', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'Verbascum Thapsus Extract', 'Mucor Miehei Extract', 'Centella Asiatica Extract', 'Beeswax (Cera Alba)', 'Cetearyl Alcohol', 'Cetyl Alcohol', 'Equisetum Arvense Extract', 'Butyrospermum Parkii (Shea) Butter', 'Passiflora Incarnata Flower Extract', 'Ethylhexyl Palmitate', 'Echinacea Angustifolia Extract', 'Panax Ginseng Root Extract', 'Water', 'Carbomer', 'Caprylic/Capric Triglyceride', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Propylene Glycol', 'Symphytum Officinale Leaf Extract', 'Potassium Cetyl Phosphate', 'Polysilicone-11', 'Lentinus Edodes Extract', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Magnolia Acuminata Bark Extract', 'Blue 1', 'Tocopherol (Vitamin E)', 'Retinyl Palmitate (Vitamin A)', 'Citric Acid', 'Dimethicone', 'Cyclopentasiloxane', 'Sodium Benzoate', 'Tocopheryl Acetate (Vitamin E)', 'Potassium Sorbate', 'Polysorbate 60', 'Methylparaben', 'SD Alcohol 40-B', 'Phenoxyethanol', 'Linalool', 'Triethanolamine', 'Benzyl Salicylate', 'Butylphenyl Methylpropional', 'Hydroxycitronellal', 'Fragrance', 'Valeriana Officinalis Rhizome/Root Extract', 'Titanium Dioxide', 'Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde', 'Cypripedium Pubescens Extract', 'CI 60725 (Violet 2)']"
Giorgio Armani,moisturizer,cream,Crema Nera Extrema Obsidian Mineral High Recovery Elixir,https://www.skincarisma.com/products/giorgio-armani/crema-nera-extrema-obsidian-mineral-high-recovery-elixir/ingredient_list#info-section,Crema Nera Extrema Obsidian Mineral High Recovery Elixir,"['Palmaria Palmata Extract', 'Methyl Gluceth-20', 'Methylsilanol Mannuronate', 'Sodium Citrate', 'Adenosine', 'Ascorbyl Glucoside', 'Xanthan Gum', 'Water', 'Capryloyl Salicylic Acid', 'Butylene Glycol', 'Glycerin', 'Thermus Thermophillus Ferment', 'Perlite', 'Pentasodium Pentetate', 'Polystyrene', 'Lentinus Edodes Extract', 'Hydrogenated Castor Oil', 'Hydrolyzed Lupine Protein', 'Pelargonium Capitatum (Geranium) Oil', 'Citric Acid', 'Tetrasodium EDTA', 'Sodium Hydroxide', 'PEG-20', 'PEG-60', 'Alcohol Denat.', 'Phenoxyethanol', 'Linalool', 'Citronellol', 'Limonene', 'Fragrance', 'Ferrous Gluconate']"
Chanel,anti-aging,cream,Chanel Le Lift Firming Anti-Wrinkle Creme Riche,https://www.skincarisma.com/products/chanel/le-lift-firming-anti-wrinkle-creme-riche/ingredient_list#info-section,Chanel Le Lift Firming Anti-Wrinkle Creme Riche,"['Ipomoea Batatas Root Extract', 'Glyceryl Stearate', 'Dimethicone Crosspolymer', 'Dipropylene Glycol', 'Limnanthes Alba (Meadowfoam) Seed Oil', 'Cetearyl Glucoside', 'Cetearyl Alcohol', 'Sodium Citrate', 'Sodium Carbomer', 'Sorbitan Laurate', 'Butyrospermum Parkii (Shea) Butter', 'Acetyl Dipeptide-1 Cetyl Ester', 'Arginine', 'Octyldodecyl Myristate', 'Isododecane', 'Isostearyl Neopentanoate', 'Xanthan Gum', 'Water', 'Caprylyl Glycol', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Propylene Glycol', 'Phytic Acid', 'Palmitoyl Oligopeptide', 'Polyquaternium-51', 'Phytosteryl/Octyldodecyl Lauroyl Glutamate', 'Hydroxyethylcellulose', 'Hydrolyzed Silk', 'Jojoba Esters', 'Tocopherol (Vitamin E)', 'Citric Acid', 'Dimethicone', 'Sodium Benzoate', 'Sodium Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'CI 14700', 'Tocopheryl Acetate (Vitamin E)', 'PEG-100 Stearate', 'CI 19140', 'Phenoxyethanol', 'Fragrance', 'Hydrochloric Acid']"
Chanel,anti-aging,cream,Chanel Le Lift Firming Anti-Wrinkle Creme Fine,https://www.skincarisma.com/products/chanel/le-lift-firming-anti-wrinkle-creme-fine/ingredient_list#info-section,Chanel Le Lift Firming Anti-Wrinkle Creme Fine,"['C12-15 Alkyl Benzoate', 'Ipomoea Batatas Root Extract', 'Glyceryl Stearate', 'Dimethicone Crosspolymer', 'Dipropylene Glycol', 'Methyl Methacrylate Crosspolymer', 'Biosaccharide Gum-1', 'Boron Nitride', 'Cetyl Alcohol', 'Sodium Citrate', 'Sodium Carbomer', 'Sorbitan Laurate', 'Butyrospermum Parkii (Shea) Butter', 'Acetyl Dipeptide-1 Cetyl Ester', 'Arginine', 'Octyldodecyl Myristate', 'Xanthan Gum', 'Water', 'Caprylyl Glycol', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Propylene Glycol', 'Phytic Acid', 'Palmitoyl Oligopeptide', 'Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate', 'Polyquaternium-51', 'Propanediol', 'Hydroxyethylcellulose', 'Hydrolyzed Silk', 'Ceteth-20', 'Citric Acid', 'Alcohol', 'Dimethicone', 'Sodium Benzoate', 'Steareth-20', 'CI 14700', 'Tocopheryl Acetate (Vitamin E)', 'PEG-75 Stearate', 'CI 19140', 'Phenoxyethanol', 'Fragrance', 'Hydrochloric Acid']"
Shiseido,anti-aging,cream,Shiseido Future Solution LX Total Regenerating Cream Night,https://www.skincarisma.com/products/shiseido/future-solution-lx-total-regenerating-cream-night/ingredient_list#info-section,Shiseido Future Solution LX Total Regenerating Cream Night,"['Glycine', 'Glycol Stearate SE', 'Dimethicone Crosspolymer', 'Diisostearyl Malate', 'Dipropylene Glycol', 'Ononis Spinosa Root Extract', 'Beheneth-20', 'Behenyl Alcohol', 'Sodium Acetylated Hyaluronate', 'Sorbitan Tristearate', 'Stearic Acid', 'Arginine HCl', 'Erythritol', 'Angelica Acutiloba Root Extract', 'Xylitol', 'Water', 'Averrhoa Carambola Leaf Extract', 'Glycerin', 'Trisodium EDTA', 'Pentaerythrityl Tetrabehenate', 'Pentaerythrityl Tetraethylhexanoate', 'Saccharomyces Ferment Lysate Filtrate', 't-Butyl Alcohol', 'Tocopherol (Vitamin E)', 'Iron Oxides', 'Camellia Sinensis Leaf Extract', 'Dimethicone', 'Cyclopentasiloxane', 'Phenoxyethanol', 'Petrolatum', 'Citronellol', 'Alpha-Isomethyl Ionone', 'Limonene', 'Benzyl Benzoate', 'Geraniol', 'Fragrance', 'Mineral Oil', 'Myristyl Myristate', 'Dimethyl Capramide', 'Hibiscus Cannabinus Extract', 'Piperidinepropionic Acid']"
Clé de Peau Beauté,moisturizer,cream,Clé de Peau Beauté La Crème,https://www.skincarisma.com/products/cle-de-peau-beaute/la-creme/ingredient_list#info-section,Clé de Peau Beauté La Crème,"['Glycyrrhiza Glabra (Licorice) Root Extract', 'Citrus Unshiu Peel Extract', 'Dipotassium Glycyrrhizate', 'Lauryl Betaine', 'Rosmarinus Officinalis (Rosemary) Leaf Extract', 'Microcrystalline Wax', 'Maltitol', 'Beheneth-20', 'Behenyl Alcohol', 'Serine', 'Sodium Metaphosphate', 'Sodium Citrate', 'Sodium Acetylated Hyaluronate', 'Sodium Carboxymethyl Beta-Glucan', 'Sorbitan Oleate', 'Centaurea Cyanus Flower Extract', 'Squalane', 'Stearyl Alcohol', 'Bupleurum Falcatum Root Extract', 'Inositol', 'Isodecyl Neopentanoate', 'Isostearic Acid', 'Angelica Acutiloba Root Extract', 'Water', 'Sanguisorba Officinalis Root Extract', 'Butylene Glycol', 'Glycerin', 'Trehalose', 'Trisodium EDTA', 'Triisostearin', 'Pentaerythrityl Tetraethylhexanoate', 'Polyvinyl Alcohol', 'Polyquaternium-51', 'Phytosteryl Macadamiate', 'Hydrogenated Polyisobutene', 'Hydrolyzed Silk', 'Hydrolyzed Conchiolin Protein', 'Helianthus Annuus (Sunflower) Seed Oil', 'Paeonia Albiflora Root Extract', 'Pinus Sylvestris Cone Extract', 'Tocopherol (Vitamin E)', 'Citric Acid', 'Alcohol', 'Ammonium Polyacrylate', 'Iron Oxides', 'Dimethicone', 'Benzoic Acid', 'Sodium Benzoate', 'Talc', 'Tocopheryl Acetate (Vitamin E)', 'PEG/PPG-14/7 Dimethyl Ether', 'Methylparaben', 'Sodium Metabisulfite', 'Phenoxyethanol', 'Petrolatum', 'Linalool', 'Citronellol', 'Alpha-Isomethyl Ionone', 'PEG-40 Castor Oil', 'Limonene', 'Benzyl Benzoate', 'BHT', 'Geraniol', 'Fragrance', 'Retinyl Acetate', 'Silica', 'Myristyl Myristate', 'Glycyl Glycine', 'Zingiber Aromaticus Extract', 'Uncaria Gambir Extract', 'Rubus Suavissimus (Raspberry) Leaf Extract', 'Theanine', 'Potassium Methoxysalicylate', 'Crataegus Monogyna Flower Extract']"
Chantecallie,anti-aging,cream,Chantecallie Bio Liftying Cream,https://www.skincarisma.com/products/chantecaille/bio-lifting-cream/ingredient_list#info-section,Chantecallie Bio Liftying Cream,"['3-Aminopropane Sulfonic Acid', 'Acacia Decurrens Flower Wax', 'Glycoproteins', 'Glutamic Acid', 'Beta-Carotene', 'Rosa Damascena Flower Water', 'Rosa Damascena Flower Oil', 'Disodium EDTA', 'Rosa Canina Fruit Oil', 'Leuconostoc/Radish Root Ferment Filtrate', 'Magnesium Chloride', 'imperata Cylindrica Root Extract', 'Biosaccharide Gum-1', 'Valine', 'Borago Officinalis Seed Oil', 'Saccharide Isomerate', 'Sodium Citrate', 'Butyrospermum Parkii (Shea) Butter', 'Butyrospermum Parkii (Shea) Butter Extract', 'Spent Grain Wax', 'Argania Spinosa Kernel Oil', 'Acetyl Hexapeptide-8', 'Ascorbyl Palmitate', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Ethylhexylglycerin', 'Narcissus Poeticus Flower Wax', 'Xanthan Gum', 'Jasminum Grandiflorum (Jasmine) Flower Wax', 'Water', 'Plantago Lanceolata Leaf Extract', 'Chondrus Crispus (Carrageenan)', 'Carbomer', 'Caprylic/Capric Triglyceride', 'Caprylyl Glycol', 'Calcium Hydroxymethionine', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Coco-glucoside', 'Coco-Caprylate/Caprate', 'Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate', 'Threonine', 'Palmitoyl Tetrapeptide-7', 'Palmitoyl Tripeptide-1', 'Pentylene Glycol', 'Phospholipids', 'Potassium Cetyl Phosphate', 'Plankton Extract', 'Hydroxyethylcellulose', 'Simmondsia Chinensis (Jojoba) Seed Oil', 'Pollen Extract', 'Michelia Alba Leaf Oil', 'Ascorbic Acid (Vitamin C)', 'Tocopherol (Vitamin E)', 'Retinyl Palmitate (Vitamin A)', 'Citric Acid', 'Alcohol', 'C12-20 Acid PEG-8 Ester', 'Camellia Sinensis Leaf Extract', 'Sodium Lactate', 'Sodium Hydroxide', 'Sorbic Acid', 'Tocopheryl Acetate (Vitamin E)', 'PEG-8', 'Sodium Metabisulfite', 'Phenoxyethanol', 'Linalool', 'Geraniol', 'Hydrolyzed Soy Protein', 'Rubus Idaeus Leaf Cell Culture', 'Secale Cereale (Rye) Callus Extract', 'Nicotiana Sylvestris Leaf Cell Culture', 'Psilanthus Bengalensis Leaf Cell Culture Extract', 'Alpha-Bisabolol']"
Charlotte Tilbury,anti-aging,cream,Charlotte's Magic Cream,https://www.skincarisma.com/products/charlotte-tilbury/charlotte-s-magic-cream/ingredient_list#info-section,Charlotte's Magic Cream,"['C12-15 Alkyl Benzoate', 'Avena Sativa (Oat) Kernel Extract', 'Glyceryl Stearate SE', 'Rosa Damascena Flower Water', 'Dimethiconol', 'Disodium EDTA', 'Rosa Canina Fruit Oil', 'Cetyl Alcohol', 'Butyrospermum Parkii (Shea) Butter', 'Ascorbyl Palmitate', 'Ethylhexylglycerin', 'Camellia Oleifera Seed Oil', 'Xanthan Gum', 'Water', 'Carbomer', 'Caprylyl Glycol', 'Butylene Glycol', 'Sodium Hyaluronate', 'Glycerin', 'Coco-glucoside', 'Palmitoyl Oligopeptide', 'Palmitoyl Tetrapeptide-7', 'Potassium Cetyl Phosphate', 'Plumeria Rubra Flower Extract', 'Hydrolyzed Viola Tricolor Extract', 'Helianthus Annuus (Sunflower) Seed Oil', 'Michelia Alba Leaf Oil', 'Ascorbic Acid (Vitamin C)', 'Tocopherol (Vitamin E)', 'Butyl Methoxydibenzoylmethane', 'Citric Acid', 'Chlorphenesin', 'Dimethicone', 'Cyclopentasiloxane', 'Sodium Lactate', 'Sodium Hydroxide', 'Steareth-21', 'Octocrylene', 'Tocopheryl Acetate (Vitamin E)', 'PEG-8', 'Allantoin', 'Ethylhexyl Salicylate', 'Phenoxyethanol', 'Homosalate', 'Linalool', 'Citronellol', 'Geraniol', 'Aloe Barbadensis Leaf Juice', 'Nicotiana Sylvestris Leaf Cell Culture']"
Olay,moisturizer,cream,Olay Regenerist Micro-Sculpting Cream,https://www.skincarisma.com/products/olay/regenerist-micro-sculpting-cream/ingredient_list#info-section,Olay Regenerist Micro-Sculpting Cream,"['C12-13 Pareth-3', 'C13-14 Isoparaffin', 'Niacinamide', 'Nylon-12', 'Dimethiconol', 'Disodium EDTA', 'Peucedanum Graveolens (Dill) Extract', 'Panthenol', 'Behenyl Alcohol', 'Vitamin B', 'Vitamin B3', 'Cetearyl Glucoside', 'Cetearyl Alcohol', 'Cetyl Alcohol', 'Stearic Acid', 'Stearyl Alcohol', 'Isopropyl Isostearate', 'Isohexadecane', 'Water', 'Caprylic/Capric Triglyceride', 'Sodium Hyaluronate', 'Glycerin', 'Palmitoyl Pentapeptide-4', 'Polyethylene', 'Tocopherol (Vitamin E)', 'Citric Acid', 'Acrylamide/Sodium Acryloyldimethyltaurate Copolymer', 'Aluminum Starch Octenylsuccinate', 'Camellia Sinensis Leaf Extract', 'Dimethicone', 'Laureth-7', 'Sodium Acrylates Copolymer', 'Sodium PEG-7 Olive Oil Carboxylate', 'Sodium Hydroxide', 'Tocopheryl Acetate (Vitamin E)', 'PEG-100 Stearate', 'Allantoin', 'Methylparaben', 'Ethylparaben', 'Benzyl Alcohol', 'Propylparaben', 'Aloe Barbadensis (Aloe Vera) Gel', 'Aloe Barbadensis Leaf Juice', 'Pisum Sativum (Pea) Peptide', 'Titanium Dioxide']"
Neutrogena ,moisturizer,cream,Neutrogena Oil-Free Moisture,https://www.skincarisma.com/products/neutrogena/oil-free-moisture-for-combination-skin/ingredient_list#info-section,Neutrogena Oil-Free Moisture,"['Glyceryl Stearate', 'Lysine Thiazolidine Carboxylate', 'Lysine Carboxymethyl Cysteinate', 'Cetyl Ricinoleate', 'Cetyl Caprylate', 'Stearyl Alcohol', 'Xanthan Gum', 'Water', 'Glycerin', 'Tocopherol (Vitamin E)', 'Cyclomethicone', 'Acrylates Copolymer', 'PEG-100 Stearate', 'Methylparaben', 'Benzalkonium Chloride', 'Diazolidinyl Urea', 'Propylparaben', 'Silica']"
Neutrogena ,moisturizer,cream,Neutrogena Hydro Boost Water Gel Cream,https://www.skincarisma.com/products/neutrogena/hydro-boost-water-gel-cream/ingredient_list#info-section,Neutrogena Hydro Boost Water Gel Cream,"['C12-14 Pareth-12', 'C13-14 Isoparaffin', 'Dimethicone/Vinyl Dimethicone Crosspolymer', 'Dimethiconol', 'Dimethicone Crosspolymer', 'Cetearyl Olivate', 'Sorbitan Olivate', 'Ethylhexylglycerin', 'Water', 'Carbomer', 'Sodium Hyaluronate', 'Glycerin', 'Blue 1', 'Chlorphenesin', 'Dimethicone', 'Laureth-7', 'Sodium Hydroxide', 'Phenoxyethanol', 'Polyacrylamide', 'Fragrance']"
